customer_unique_id,predicted_avg_order_value
004288347e5e88a27ded2bb23747066c,823.7
004b45ec5c64187465168251cd1c9c2f,685.1704
00a39521eb40f7012db50455bf083460,618.2808
00cc12a6d8b578b8ebd21ea4e2ae8b27,612.93555
011575986092c30523ecb71ff10cb473,830.1512
011b4adcd54683b480c4d841250a987f,851.40735
012452d40dafae4df401bced74cdb490,853.3353
012a218df8995d3ec3bb221828360c86,1288.7833
013ef03e0f3f408dd9bf555e4edcdc0a,833.45197
013f4353d26bb05dc6652f1269458d8d,724.70593
015557c9912277312b9073947804a7ba,668.0695
0178b244a5c281fb2ade54038dd4b161,856.23096
01886ef98f995e4f2dd75a1d04c97397,726.3442
018b5a7502c30eb5f230f1b4eb23a156,646.16815
01a22e2079ea71e17313b88e5811e54a,688.9566
01c289bb06354cdc7e6549570f20ada4,856.78424
01f2285f85a1c603eb7ef755ad311769,730.33594
02168ea18740a0fdaaa15f11bebba5db,710.1413
0241fa2e9adf0576cb0f845377d05c03,665.66003
027803eb28cc01fbdf5da72b109fabee,747.14557
029b457bd01199c39136f89e0eddcd3a,652.6996
02b20b7c813efede140142ac610e36dc,843.2709
02e4c56fefa30628768ffe326d332e2f,835.33936
02e9109b7e0a985108b43e573b6afb23,666.2939
02e9827c15167f699df7bf90d326ffdb,621.5545
02fbe4db886eb98774c8ba300d39fa79,710.8117
031e19fc630c4121f1238716f41675c3,690.2752
031ea691b99fc101dcad357d1a83573f,747.2194
032b3a42598667caf2e099999b9dc1b9,621.92633
0333b2fc6ba7014702e08ef613850270,852.8401
0341bbd5c969923a0f801b9e2d10a7b8,829.85834
0361e980b28826f4d286ac144d9b319a,715.4964
038301b43811478e1a8dc0e476eaf52e,672.51245
0396c443fdda5498c7e9ed5b34871c5a,693.01685
03d4953a455f8489e712ea80699de878,722.6692
03dabd77cb0ed7a26fafe19e36b67742,688.2976
03ef7f03905227e15c7b6c860554b3cb,691.4942
041caba6a63ace5818387698ea85cdb2,632.5212
043aee247e71edff7045664609f4d806,738.20026
0451ef5a31cea3e14ce02d768d7c9943,702.67786
0488328f0b499963e32a37fa42a20ca0,853.3353
048dbdf8f9bbd1be87b25868d1408311,674.7952
04be500031efe43d2defff8c41810543,851.40735
04d3c2795b83634312bf3f86f41f7901,822.95557
04e495a3f45df8b41be2e934bbc16961,717.92487
04fc637963fe982dd25ac58e4f4770c1,690.3256
050555c26479bbb8ba0740c37e7454d0,689.0152
0509ab034845adb0b4c91b6f0e7b7260,602.02203
